Username,Comment,Timestamp
@Batman2006100,"Thank you Demi. I have: black, grey y ombre leather. I love them. You are so beauty.",2024-06-20 10:51:25
@EmmaSmith-dh6dq,"Please do: 
Top 5 fragrances from Dior for women/men 
Top 5 fragrances from Chanel for women/men 
Top 5 fragrances from Guerlain for women/men 
Both from the main line and exclusive line.",2024-06-20 10:51:29
@lennonseow90,"No Ombre Leather?
Ombre Leather is more wearable and versatile than Tuscan Leather yet at the same time, the price is way cheaper than the latter.",2024-06-20 10:51:31
@Liverpoolaussie21,no Fabulous?,2024-06-20 10:51:31
@marianneibrahim6420,My dad smell black orchid on me and he took it away  Now i need to buy another bottle...,2024-06-20 10:51:34
@superfatbass,"Hi Demi, just realised I've been watching you for ages, but hadn't subscribed, not anymore,  Keep up the good work,..have you checked out Killa Frags from the UK,funny guy, ok good luck Demi,",2024-06-20 10:51:31
@sophie_omongain,You should do a top 10 Tom Ford perfumes for women,2024-06-20 10:51:28
@georgegenovese243,Also the tom ford noir really worths,2024-06-20 10:51:31
@julesp1669,"All I hear is how good, how oriental, how amazing, etc...what are the top, heart and base notes? Hello.",2024-06-20 10:51:31
@papatzis4032,"3:56 
That’s it I’m buying Noir Extreme",2024-06-20 10:51:32
@Gabos_Parfums,Unfortunately oud wood does not perform its only good for like 3 hours I regret buying it only wish I had the old school bottle that juice last a long time,2024-06-20 10:51:31
@alexanderslowinski2054,Costa Azzurra!,2024-06-20 10:51:34
@BestBrandsPerfume,"Who else thinks Tom Ford Makes Some ""BADA$$"" Fragrances?",2024-06-20 10:51:22
@gianniferrari1122,"My Top TF - 

1. Tuscan Leather 
2. Champaca Absolute (Nobody wears this... Don't know why!!!?) 
3. Soleil Blanc EDP 
4. Grey Vetiver",2024-06-20 10:51:30
@shakomarzashvili6490,My choice is the Cafe Rose ,2024-06-20 10:51:30
@michaelmoreno9522,"Why did she whisper the word ""sex"" but say ""Fucking Fabulous"" loudly ",2024-06-20 10:51:36
@DevilsDiscretionAdvised,"She probably wouldn’t be so shiny and fake if she didn’t over tan , wear way way too much lipstick and she actually wore makeup",2024-06-20 10:51:37
@luckyraspberry3712,"1. Oud Fleur (this makes me m e l t)
2. Venetian Bergamot
3. Patchouli Absolu (you either love or loathe this)
4. Oud Wood 
5. Sole Di Positano",2024-06-20 10:51:29
@bdavis0625,I’ve been looking forward to this one Demi! Thanks!!,2024-06-20 10:51:23
@elie6769,She loves tom ford noir extreme Shi mni7 one of her favs. One of her favs. Hates ombre leather btefham,2024-06-20 10:51:30
@Shaari,"Noir Extreme is easily my favourite. One of my go to date scents along with Herod, By the Fireplace, The One, La Nuit de L'Homme. For daily and formal situations, Grey Vetiver is perfect.",2024-06-20 10:51:22
@Eclapce,I remember going to buy black orchid and the lady at the perfume kiosk said “eww no not that one” lmfao. It smelt like hot leather lol,2024-06-20 10:51:29
@ahmedsallam1179,I love black orchid but unfortunately my mother and sister hate it so much is stopped wearing it,2024-06-20 10:51:29
